Rk.,,Batter,,Pitcher,PA,Inning,Result,EV,LA,Dist,Bat_speed,Pitch_velo,xBA,numParks
1,,Bryan Reynolds,,Josh Hader,63,9,Lineout,107.9,19,349,72.6,82.4,.760,0/30
2,,Victor Caratini,,Kyle Nicolas,62,9,Pop Out,72.2,67,142,72.1,96.6,.000,
3,,Yainer Diaz,,Kyle Nicolas,61,9,Lineout,105.4,18,354,69.3,95.8,.550,0/30
4,,Christian Walker,,Dennis Santana,60,9,Flyout,92.6,31,341,⚡75.7,94.3,.140,0/30
5,,Jose Altuve,,Dennis Santana,59,9,Field Error,55.8,-11,12,55.8,89.3,.080,
6,,Isaac Paredes,,Dennis Santana,58,9,Home Run,103.6,32,403,67.6,92.6,.770,30/30
7,,Jeremy Peña,,Dennis Santana,57,9,Single,74.4,-1,23,69.6,88.0,.140,
8,,Andrew McCutchen,,Bryan Abreu,56,8,Lineout,89.7,19,294,73.7,87.4,.530,
9,,Oneil Cruz,,Bryan Abreu,55,8,Forceout,82.6,-3,32,68.1,85.2,.160,
10,,Isiah Kiner-Falefa,,Bryan Abreu,54,8,Single,94.6,-3,39,66.5,95.5,.330,
11,,Jacob Melton,,Paul Skenes,53,8,Groundout,73.3,-35,4,69.6,97.6,.060,
12,,Ke'Bryan Hayes,,Shawn Dubin,50,7,Groundout,76.7,-34,5,72.4,82.7,.040,
13,,Henry Davis,,Shawn Dubin,49,7,Pop Out,81.3,60,164,⚡76.1,83.9,.020,
14,,Nick Gonzales,,Shawn Dubin,48,7,Single,49.1,-28,7,69.4,81.8,.210,
15,,Christian Walker,,Paul Skenes,45,7,Home Run,102.1,33,394,⚡81.2,86.4,.560,30/30
16,,Jose Altuve,,Paul Skenes,44,7,Flyout,84.3,51,240,⚡77.2,98.7,.010,
17,,Spencer Horwitz,,Lance McCullers Jr.,42,6,Groundout,95.9,,32,⚡75.4,87.4,.310,
18,,Isaac Paredes,,Paul Skenes,40,6,Lineout,81.2,11,162,62.8,85.7,.500,
19,,Jeremy Peña,,Paul Skenes,39,6,Groundout,69.1,-9,13,71.6,84.9,.060,
20,,Jacob Melton,,Paul Skenes,38,6,Groundout,69.0,-42,3,72.8,93.1,.150,
21,,Andrew McCutchen,,Lance McCullers Jr.,37,5,Lineout,101.4,21,365,72.4,92.7,.420,0/30
22,,Isiah Kiner-Falefa,,Lance McCullers Jr.,35,5,Single,76.9,18,216,71.7,83.7,.960,
23,,Ke'Bryan Hayes,,Lance McCullers Jr.,34,5,Flyout,96.6,35,365,73.3,89.2,.180,0/30
24,,Jake Meyers,,Paul Skenes,32,5,Pop Out,79.0,71,113,62.0,85.4,.010,
25,,Victor Caratini,,Paul Skenes,31,5,Flyout,101.3,35,389,71.4,98.0,.380,5/30
26,,Nick Gonzales,,Lance McCullers Jr.,29,4,Forceout,101.4,,50,70.8,92.0,.410,
27,,Alexander Canario,,Lance McCullers Jr.,28,4,Single,103.5,8,135,⚡77.4,91.3,.720,
28,,Spencer Horwitz,,Lance McCullers Jr.,27,4,Flyout,100.1,29,367,70.6,81.3,.540,1/30
29,,Yainer Diaz,,Paul Skenes,26,4,Groundout,101.4,-16,6,73.0,98.6,.200,
30,,Jose Altuve,,Paul Skenes,24,4,Single,50.1,-21,8,50.3,86.5,.140,
31,,Bryan Reynolds,,Lance McCullers Jr.,22,3,Flyout,96.2,37,358,71.7,87.5,.090,0/30
32,,Andrew McCutchen,,Lance McCullers Jr.,21,3,Flyout,97.3,29,384,73.0,82.4,.300,24/30
33,,Jeremy Peña,,Paul Skenes,19,3,GIDP,63.0,1,37,74.9,93.8,.150,
34,,Cam Smith,,Paul Skenes,17,3,Groundout,60.7,-9,12,72.2,98.3,.100,
35,,Jake Meyers,,Paul Skenes,16,3,Double,103.6,11,241,73.0,98.7,.920,
36,,Isiah Kiner-Falefa,,Lance McCullers Jr.,15,2,Forceout,82.1,,36,67.8,90.8,.200,
37,,Victor Caratini,,Paul Skenes,10,2,Groundout,88.4,8,111,74.0,98.2,.450,
38,,Christian Walker,,Paul Skenes,8,2,Flyout,96.3,51,,74.9,83.2,.010,
39,,Spencer Horwitz,,Lance McCullers Jr.,7,1,Flyout,95.5,28,342,71.8,83.4,.280,0/30
40,,Bryan Reynolds,,Lance McCullers Jr.,6,1,Groundout,82.8,-29,6,72.1,82.7,.040,
41,,Andrew McCutchen,,Lance McCullers Jr.,5,1,Groundout,77.1,-5,18,71.0,82.2,.120,
42,,Jose Altuve,,Paul Skenes,3,1,Pop Out,60.6,79,41,62.6,84.6,.000,
43,,Isaac Paredes,,Paul Skenes,2,1,Groundout,102.7,-20,5,68.7,99.0,.130,
44,,Jeremy Peña,,Paul Skenes,1,1,Flyout,96.5,25,363,73.0,99.4,.300,0/30
1,,Heriberto Hernandez,,Seth Halvorsen,73,9,Flyout,105.9,31,402,74.3,91.1,.890,14/30
2,,Connor Norby,,Seth Halvorsen,72,9,Flyout,83.7,47,275,70.6,88.9,.010,
3,,Liam Hicks,,Seth Halvorsen,71,9,Pop Out,61.2,87,46,66.4,100.0,.000,
4,,Jordan Beck,,Tyler Phillips,70,9,Flyout,68.5,50,186,72.7,83.2,.170,
5,,Tyler Freeman,,Tyler Phillips,69,9,Single,96.1,14,263,⚡76.6,82.3,.900,
6,,Mickey Moniak,,Tyler Phillips,68,9,Forceout,97.4,-14,9,⚡75.8,94.4,.260,
7,,Orlando Arcia,,Tyler Phillips,66,9,Groundout,100.4,-18,6,72.5,95.1,.140,
8,,Eric Wagaman,,Victor Vodnik,65,8,Lineout,91.4,21,304,72.3,98.9,.280,0/30
9,,Otto Lopez,,Victor Vodnik,64,8,Groundout,60.5,-53,4,71.1,86.8,.280,
10,,Kyle Stowers,,Victor Vodnik,63,8,Groundout,101.8,-16,6,⚡78.7,98.5,.220,
11,,Brenton Doyle,,Anthony Bender,62,8,Lineout,94.9,7,121,70.6,96.8,.560,
12,,Ryan McMahon,,Anthony Bender,61,8,Groundout,94.0,-15,8,⚡78.4,89.4,.130,
13,,Hunter Goodman,,Anthony Bender,60,8,Home Run,105.2,22,369,74.8,84.6,.800,28/30
14,,Agustín Ramírez,,Victor Vodnik,58,7,Groundout,61.5,-40,4,73.6,87.0,.130,
15,,Jesús Sánchez,,Jimmy Herget,57,7,Single,96.7,7,128,,86.5,.570,
16,,Xavier Edwards,,Jimmy Herget,56,7,Single,96.1,15,240,67.4,77.5,.850,
17,,Javier Sanoja,,Jimmy Herget,55,7,Groundout,94.3,-3,32,62.9,79.3,.280,
18,,Jordan Beck,,Calvin Faucher,53,7,Flyout,90.7,42,284,61.3,91.9,.010,
19,,Tyler Freeman,,Calvin Faucher,52,7,Single,75.1,19,216,71.3,90.1,.970,
20,,Mickey Moniak,,Calvin Faucher,51,7,Flyout,90.4,44,280,⚡75.5,89.6,.010,
21,,Kyle Farmer,,Calvin Faucher,50,7,Lineout,86.8,12,153,65.9,84.6,.720,
22,,Dane Myers,,Jimmy Herget,49,6,GIDP,100.1,-5,24,71.6,77.0,.320,
23,,Eric Wagaman,,Jimmy Herget,48,6,Single,87.1,16,199,⚡78.2,77.1,.990,
24,,Kyle Stowers,,Jimmy Herget,46,6,Single,101.6,6,114,⚡78.9,86.3,.640,
25,,Orlando Arcia,,Sandy Alcantara,45,6,Groundout,64.5,-33,6,⚡75.6,97.8,.050,
26,,Brenton Doyle,,Sandy Alcantara,44,6,Groundout,75.5,4,69,69.3,99.2,.260,
27,,Ryan McMahon,,Sandy Alcantara,43,6,Lineout,100.3,8,155,72.6,96.9,.590,
28,,Agustín Ramírez,,Juan Mejia,42,5,Groundout,77.8,-35,4,72.7,83.8,.040,
29,,Jesús Sánchez,,Juan Mejia,41,5,Lineout,52.9,26,134,67.2,98.2,.170,
30,,Xavier Edwards,,Juan Mejia,40,5,Sac Bunt,28.6,-27,5,8.3,93.7,.280,
31,,Thairo Estrada,,Sandy Alcantara,37,5,Sac Fly,94.0,30,350,67.5,87.1,.170,1/30
32,,Jordan Beck,,Sandy Alcantara,36,5,Single,101.1,13,223,66.2,98.1,.910,
33,,Tyler Freeman,,Sandy Alcantara,35,5,Single,79.3,-60,1,70.5,98.5,.350,
34,,Kyle Farmer,,Sandy Alcantara,33,5,Groundout,77.5,-9,14,64.4,97.5,.070,
35,,Nick Fortes,,Juan Mejia,32,4,Groundout,56.7,-59,3,72.8,96.4,.230,
36,,Dane Myers,,Juan Mejia,31,4,Lineout,103.3,19,347,69.8,82.8,.450,0/30
37,,Eric Wagaman,,Juan Mejia,30,4,Groundout,99.2,-2,34,74.7,82.6,.360,
38,,Orlando Arcia,,Sandy Alcantara,29,4,Groundout,83.7,-65,1,⚡77.0,98.6,.370,
39,,Brenton Doyle,,Sandy Alcantara,28,4,Groundout,91.2,-5,24,69.5,87.3,.280,
40,,Hunter Goodman,,Sandy Alcantara,26,4,Double,100.8,4,83,72.6,85.6,.540,
41,,Otto Lopez,,Chase Dollander,25,3,Groundout,81.2,-9,16,71.5,97.9,.120,
42,,Kyle Stowers,,Chase Dollander,24,3,Single,105.9,5,117,⚡76.7,98.1,.610,
43,,Agustín Ramírez,,Chase Dollander,23,3,Fielders Choice Out,100.2,-13,12,⚡78.9,78.1,.200,
44,,Jesús Sánchez,,Chase Dollander,22,3,Single,94.5,10,162,72.6,79.3,.710,
45,,Xavier Edwards,,Chase Dollander,21,3,Flyout,96.8,27,370,70.7,98.1,.330,0/30
46,,Thairo Estrada,,Sandy Alcantara,18,3,Groundout,80.6,-18,9,69.0,97.9,.060,
47,,Jordan Beck,,Sandy Alcantara,17,3,Single,68.6,-63,2,67.7,98.5,.300,
48,,Tyler Freeman,,Sandy Alcantara,16,3,Field Error,93.6,-25,5,68.1,98.0,.090,
49,,Mickey Moniak,,Sandy Alcantara,15,3,Flyout,97.3,31,355,⚡76.1,86.1,.250,0/30
50,,Kyle Farmer,,Sandy Alcantara,14,3,Groundout,92.6,-4,28,74.6,90.6,.240,
51,,Dane Myers,,Chase Dollander,13,2,Flyout,91.6,49,263,71.2,79.1,.000,
52,,Eric Wagaman,,Chase Dollander,12,2,Groundout,79.1,-5,18,73.2,78.5,.100,
53,,Orlando Arcia,,Sandy Alcantara,10,2,Groundout,68.8,-46,4,⚡82.1,97.5,.200,
54,,Brenton Doyle,,Sandy Alcantara,9,2,Flyout,90.9,36,300,71.2,86.9,.040,0/30
55,,Ryan McMahon,,Sandy Alcantara,8,2,Lineout,78.8,12,161,70.9,91.8,.410,
